contrast_id	dataset_key	variable	reference	target	result_file	method
Fe_Ov_O_vs_Fe_FL_O	atlas	condition	Fe_FL_O	Fe_Ov_O	DE_Fe_Ov_O_vs_Fe_FL_O.tsv.gz	DESeq2
Fe_Ov_O_vs_Fe_FL_SF	atlas	condition	Fe_FL_SF	Fe_Ov_O	DE_Fe_Ov_O_vs_Fe_FL_SF.tsv.gz	DESeq2
Fe_Ov_O_vs_Fe_HL_BF	atlas	condition	Fe_HL_BF	Fe_Ov_O	DE_Fe_Ov_O_vs_Fe_HL_BF.tsv.gz	DESeq2
Fe_Ov_O_vs_Fe_HL_O	atlas	condition	Fe_HL_O	Fe_Ov_O	DE_Fe_Ov_O_vs_Fe_HL_O.tsv.gz	DESeq2
Fe_Ov_O_vs_Fe_HL_SF	atlas	condition	Fe_HL_SF	Fe_Ov_O	DE_Fe_Ov_O_vs_Fe_HL_SF.tsv.gz	DESeq2
Fe_Ov_O_vs_Fe_ML_O	atlas	condition	Fe_ML_O	Fe_Ov_O	DE_Fe_Ov_O_vs_Fe_ML_O.tsv.gz	DESeq2
Fe_Ov_O_vs_Fe_ML_SF	atlas	condition	Fe_ML_SF	Fe_Ov_O	DE_Fe_Ov_O_vs_Fe_ML_SF.tsv.gz	DESeq2
Fe_Ov_O_vs_Fe_Os_SF	atlas	condition	Fe_Os_SF	Fe_Ov_O	DE_Fe_Ov_O_vs_Fe_Os_SF.tsv.gz	DESeq2
Fe_Ov_SF_vs_Fe_An_BF	atlas	condition	Fe_An_BF	Fe_Ov_SF	DE_Fe_Ov_SF_vs_Fe_An_BF.tsv.gz	DESeq2
Fe_Ov_SF_vs_Fe_An_O	atlas	condition	Fe_An_O	Fe_Ov_SF	DE_Fe_Ov_SF_vs_Fe_An_O.tsv.gz	DESeq2
Fe_Ov_SF_vs_Fe_An_SF	atlas	condition	Fe_An_SF	Fe_Ov_SF	DE_Fe_Ov_SF_vs_Fe_An_SF.tsv.gz	DESeq2
Fe_Ov_SF_vs_Fe_At_O	atlas	condition	Fe_At_O	Fe_Ov_SF	DE_Fe_Ov_SF_vs_Fe_At_O.tsv.gz	DESeq2
Fe_Ov_SF_vs_Fe_At_SF	atlas	condition	Fe_At_SF	Fe_Ov_SF	DE_Fe_Ov_SF_vs_Fe_At_SF.tsv.gz	DESeq2
Fe_Ov_SF_vs_Fe_Br_BF	atlas	condition	Fe_Br_BF	Fe_Ov_SF	DE_Fe_Ov_SF_vs_Fe_Br_BF.tsv.gz	DESeq2
Fe_Ov_SF_vs_Fe_Br_O	atlas	condition	Fe_Br_O	Fe_Ov_SF	DE_Fe_Ov_SF_vs_Fe_Br_O.tsv.gz	DESeq2
Fe_Ov_SF_vs_Fe_Br_SF	atlas	condition	Fe_Br_SF	Fe_Ov_SF	DE_Fe_Ov_SF_vs_Fe_Br_SF.tsv.gz	DESeq2
Fe_Ov_SF_vs_Fe_FL_O	atlas	condition	Fe_FL_O	Fe_Ov_SF	DE_Fe_Ov_SF_vs_Fe_FL_O.tsv.gz	DESeq2
Fe_Ov_SF_vs_Fe_FL_SF	atlas	condition	Fe_FL_SF	Fe_Ov_SF	DE_Fe_Ov_SF_vs_Fe_FL_SF.tsv.gz	DESeq2
Fe_Ov_SF_vs_Fe_HL_BF	atlas	condition	Fe_HL_BF	Fe_Ov_SF	DE_Fe_Ov_SF_vs_Fe_HL_BF.tsv.gz	DESeq2
Fe_Ov_SF_vs_Fe_HL_O	atlas	condition	Fe_HL_O	Fe_Ov_SF	DE_Fe_Ov_SF_vs_Fe_HL_O.tsv.gz	DESeq2
Fe_Ov_SF_vs_Fe_HL_SF	atlas	condition	Fe_HL_SF	Fe_Ov_SF	DE_Fe_Ov_SF_vs_Fe_HL_SF.tsv.gz	DESeq2
Fe_Ov_SF_vs_Fe_ML_O	atlas	condition	Fe_ML_O	Fe_Ov_SF	DE_Fe_Ov_SF_vs_Fe_ML_O.tsv.gz	DESeq2
Fe_Ov_SF_vs_Fe_ML_SF	atlas	condition	Fe_ML_SF	Fe_Ov_SF	DE_Fe_Ov_SF_vs_Fe_ML_SF.tsv.gz	DESeq2
Fe_Ov_SF_vs_Fe_Os_SF	atlas	condition	Fe_Os_SF	Fe_Ov_SF	DE_Fe_Ov_SF_vs_Fe_Os_SF.tsv.gz	DESeq2
Fe_Ov_SF_vs_Fe_Ov_O	atlas	condition	Fe_Ov_O	Fe_Ov_SF	DE_Fe_Ov_SF_vs_Fe_Ov_O.tsv.gz	DESeq2
